epoch,train_loss,val_loss,accuracy,precision,recall,f1,roc_auc
1,0.19641117563820332,0.22318266453617067,0.9104477611940298,0.6241610738255033,0.48186528497409326,0.543859649122807,0.9052405529892259
2,0.10924448761634961,0.24123012444729372,0.9018369690011481,0.582089552238806,0.40414507772020725,0.47706422018348627,0.8906732406332684
3,0.06922792644411707,0.23192029915980986,0.9190585533869116,0.6494252873563219,0.5854922279792746,0.6158038147138964,0.924604541790291
4,0.047293172516375104,0.29720427925633236,0.9012629161882894,0.5580110497237569,0.5233160621761658,0.5401069518716578,0.9057121927233682
5,0.033854319764289126,0.2919302227918645,0.9081515499425947,0.5891891891891892,0.5647668393782384,0.5767195767195767,0.9085353412029155
6,0.024756593988359107,0.3193657356565636,0.9184845005740528,0.6834532374100719,0.49222797927461137,0.572289156626506,0.8971992627702312
7,0.022158879574453425,0.32527426074672783,0.9115958668197475,0.6114285714285714,0.5544041450777202,0.5815217391304348,0.9060667587646383
8,0.017414007537435567,0.3784725321146706,0.9098737083811711,0.6168831168831169,0.49222797927461137,0.547550432276657,0.9014239506015915
9,0.01461563825121437,0.3822418656692029,0.899540757749713,0.5489130434782609,0.5233160621761658,0.5358090185676393,0.8941152072037116
10,0.015869445478585452,0.3965076937430552,0.9098737083811711,0.625,0.46632124352331605,0.5341246290801187,0.8976324354338583
11,0.016006506416003142,0.43129036876658483,0.9098737083811711,0.640625,0.42487046632124353,0.5109034267912772,0.8892315617296133
12,0.009310445009037875,0.40111266364943315,0.9070034443168772,0.5962732919254659,0.49740932642487046,0.5423728813559322,0.9068745672454566
13,0.009644775826908134,0.4896400884803209,0.9029850746268657,0.5821917808219178,0.44041450777202074,0.5014749262536873,0.8934595945236271
14,0.00917863416756734,0.4393933143308461,0.912743972445465,0.6614173228346457,0.43523316062176165,0.525,0.8963797469201256
15,0.012639141865104777,0.4041551018965641,0.9075774971297359,0.6038961038961039,0.48186528497409326,0.5360230547550432,0.9135059557060046
16,0.010554111502738073,0.3826691120794528,0.9156142365097589,0.6716417910447762,0.46632124352331605,0.5504587155963303,0.9152369738791866
17,0.011257316257853598,0.41421283123294056,0.9161882893226176,0.6358381502890174,0.5699481865284974,0.6010928961748634,0.9122030927524696
18,0.010308170967366416,0.41094953662595024,0.9070034443168772,0.5906432748538012,0.5233160621761658,0.554945054945055,0.9039544148489582
19,0.007564371506660409,0.4615053582838154,0.9029850746268657,0.572289156626506,0.49222797927461137,0.5292479108635098,0.8975220516662932
20,0.0081850774965275,0.4249005148317729,0.9081515499425947,0.6050955414012739,0.49222797927461137,0.5428571428571428,0.900044153507026
