epoch,train_loss,val_loss,accuracy,precision,recall,f1,roc_auc
1,0.1739542025468875,0.23858429671155051,0.8949483352468427,0.5403225806451613,0.3471502590673575,0.4227129337539432,0.8850771181139762
2,0.1098162479623752,0.21519091916960226,0.9087256027554536,0.6545454545454545,0.37305699481865284,0.4752475247524752,0.909783012272668
3,0.07336583317779112,0.24818047976931804,0.9041331802525833,0.6048387096774194,0.38860103626943004,0.47318611987381703,0.8983231702218045
4,0.04834891163888073,0.3043310819995663,0.8960964408725602,0.5256410256410257,0.6373056994818653,0.5761124121779859,0.9060667587646383
5,0.03247349791579188,0.3273979345706519,0.9006888633754305,0.5704225352112676,0.41968911917098445,0.4835820895522388,0.8813909692698282
6,0.023927009172296114,0.3699340759407639,0.9041331802525833,0.5928571428571429,0.43005181347150256,0.4984984984984985,0.8855153082215838
7,0.01973132873971783,0.3733737199865581,0.8966704936854191,0.5299539170506913,0.5958549222797928,0.5609756097560976,0.900597744826179
8,0.017649114890711366,0.40393740383546745,0.8949483352468427,0.5213675213675214,0.6321243523316062,0.5714285714285714,0.8972226775088056
9,0.013743260956487086,0.3908663690475112,0.904707233065442,0.5780346820809249,0.5181347150259067,0.546448087431694,0.9010827644109354
10,0.012291641301236767,0.4620031981133395,0.9070034443168772,0.6201550387596899,0.41450777202072536,0.4968944099378882,0.8790260806738093
11,0.009945261189861257,0.4442522977052436,0.9035591274397244,0.5576036866359447,0.6269430051813472,0.5902439024390244,0.8984904183544791
12,0.010516295822298726,0.4316990695071506,0.9150401836969001,0.6530612244897959,0.49740932642487046,0.5647058823529412,0.878711654184381
13,0.010535129043098869,0.4623648380619034,0.8966704936854191,0.5355191256830601,0.5077720207253886,0.5212765957446809,0.8790829450389186
14,0.011270859449579706,0.4336243185132366,0.9092996555683123,0.6035502958579881,0.5284974093264249,0.56353591160221,0.897951879367267
15,0.009207085422512197,0.4553633603843701,0.9058553386911596,0.5986394557823129,0.45595854922279794,0.5176470588235295,0.8875657703281744
16,0.0076051444399965395,0.5490851368986062,0.8932261768082663,0.5161290322580645,0.5803108808290155,0.5463414634146342,0.8936402225069157
17,0.009728699819623028,0.4536749563440809,0.9052812858783008,0.5823529411764706,0.5129533678756477,0.5454545454545454,0.8802235773037593
18,0.008457913126949053,0.43402356086416444,0.9018369690011481,0.5561224489795918,0.5647668393782384,0.5604113110539846,0.8946972307054191
19,0.009196393486181571,0.4015699128377605,0.9104477611940298,0.6370370370370371,0.44559585492227977,0.524390243902439,0.8947775098091031
20,0.0048327958608749815,0.412794645132559,0.9081515499425947,0.609271523178808,0.47668393782383417,0.5348837209302325,0.8988717440969771
