epoch,train_loss,val_loss,accuracy,precision,recall,f1,roc_auc
1,0.3035293149110123,0.2338064247924069,0.9001148105625718,0.5497382198952879,0.5440414507772021,0.546875,0.901223252842382
2,0.1673546126107251,0.22762830498982242,0.904707233065442,0.5789473684210527,0.5129533678756477,0.5439560439560439,0.9034543429322611
3,0.10515203903796465,0.2596784275106393,0.9087256027554536,0.6268656716417911,0.43523316062176165,0.5137614678899083,0.8849199048692621
4,0.06576236570218333,0.2633898529201643,0.9052812858783008,0.5679611650485437,0.6062176165803109,0.5864661654135338,0.9105423187950107
5,0.045393736367328213,0.3047099836110795,0.894374282433984,0.5198237885462555,0.6113989637305699,0.5619047619047619,0.9001528647932645
6,0.03857700064749005,0.3330512134407473,0.9064293915040184,0.5728155339805825,0.6113989637305699,0.5914786967418546,0.8912552641349759
7,0.032226000302703874,0.3276633142432718,0.9070034443168772,0.5846994535519126,0.5544041450777202,0.5691489361702128,0.9023137106674204
8,0.023693516488765644,0.3645430181462031,0.9133180252583237,0.6567164179104478,0.45595854922279794,0.5382262996941896,0.8872513438387459
9,0.023075259565115858,0.3606049633669388,0.912743972445465,0.6108108108108108,0.5854922279792746,0.5978835978835979,0.8941821064567814
10,0.018952738801372746,0.37726933492858705,0.9104477611940298,0.6275862068965518,0.47150259067357514,0.5384615384615384,0.8932087223246151
11,0.016439597460900894,0.40328473015233923,0.9156142365097589,0.6369047619047619,0.5544041450777202,0.592797783933518,0.8952257348046708
12,0.014796982290290644,0.4222723638273168,0.9058553386911596,0.5847953216374269,0.5181347150259067,0.5494505494505495,0.8880574798382376
13,0.016366618709860472,0.42724880121058084,0.8966704936854191,0.5291479820627802,0.6113989637305699,0.5673076923076923,0.8970019099736751
14,0.011675815343570909,0.4374261344649351,0.9075774971297359,0.626984126984127,0.40932642487046633,0.4952978056426332,0.8863047194078078
15,0.016374472380431025,0.4667518979364024,0.9064293915040184,0.5852272727272727,0.533678756476684,0.5582655826558266,0.8906197212308125
16,0.013946330960374885,0.38617642946652514,0.9190585533869116,0.6444444444444445,0.6010362694300518,0.6219839142091153,0.9010091752325585
17,0.012877014028146698,0.4788619941474718,0.8938002296211252,0.521505376344086,0.5025906735751295,0.5118733509234829,0.882715574480611
18,0.014931147935999511,0.5165181217434999,0.9110218140068886,0.6461538461538462,0.43523316062176165,0.5201238390092879,0.8756275986178614
19,0.015988146936527246,0.4878850384999225,0.912743972445465,0.6915887850467289,0.38341968911917096,0.49333333333333335,0.8870874406687249
20,0.012226655734946287,0.4434413733506141,0.9173363949483353,0.6737588652482269,0.49222797927461137,0.5688622754491018,0.8952524945058988
