epoch,train_loss,val_loss,accuracy,precision,recall,f1,roc_auc
1,0.19482021490382584,0.22857149237880203,0.9018369690011481,0.5723684210526315,0.45077720207253885,0.5043478260869565,0.9071070421498745
2,0.1073889357543586,0.21291804926129898,0.9167623421354765,0.7033898305084746,0.43005181347150256,0.5337620578778135,0.920179156199721
3,0.06732775066897012,0.23089182902935862,0.9144661308840414,0.6506849315068494,0.49222797927461137,0.56047197640118,0.9177473683506323
4,0.04734567184534271,0.3215823366887329,0.9029850746268657,0.572289156626506,0.49222797927461137,0.5292479108635098,0.8927203577772055
5,0.030204523778359554,0.3059221416130132,0.917910447761194,0.6811594202898551,0.48704663212435234,0.56797583081571,0.8918439775619905
6,0.025786685181948137,0.29262548922021137,0.9115958668197475,0.6511627906976745,0.43523316062176165,0.5217391304347826,0.9127433042210082
7,0.021151585486936724,0.35177507424292964,0.9098737083811711,0.5849056603773585,0.6424870466321243,0.6123456790123457,0.9201523964984931
8,0.017511152958818322,0.3856755464961143,0.9070034443168772,0.585635359116022,0.5492227979274611,0.5668449197860963,0.8999270798141539
9,0.01542222078571771,0.3389860928127057,0.9092996555683123,0.6158940397350994,0.48186528497409326,0.5406976744186046,0.9069966583823093
10,0.01432717260776186,0.37525558697079,0.9121699196326062,0.6351351351351351,0.48704663212435234,0.5513196480938416,0.90329043976224
11,0.014674506018523395,0.40654391248792787,0.9070034443168772,0.591715976331361,0.5181347150259067,0.5524861878453039,0.8976775924296806
12,0.012634296467736304,0.36500812531475635,0.9087256027554536,0.6024096385542169,0.5181347150259067,0.5571030640668524,0.8991058914827216
13,0.009634301856775445,0.4778050473034724,0.8903559127439724,0.5041322314049587,0.6321243523316062,0.5609195402298851,0.906464809320404
14,0.01423690524096863,0.3686307443543225,0.9184845005740528,0.6917293233082706,0.47668393782383417,0.5644171779141104,0.8970587743387844
15,0.011205178728935637,0.38627177557291037,0.904707233065442,0.5780346820809249,0.5181347150259067,0.546448087431694,0.9051769986988095
16,0.009688867982382516,0.4671212593788531,0.904707233065442,0.5627906976744186,0.6269430051813472,0.5931372549019608,0.9123552885532032
17,0.011648380945939065,0.42005064911567247,0.9087256027554536,0.6011904761904762,0.5233160621761658,0.5595567867036011,0.8968731289115156
18,0.009927235520183474,0.4462688199311803,0.9058553386911596,0.5986394557823129,0.45595854922279794,0.5176470588235295,0.8991560659225241
19,0.004733017440157569,0.5328738659654502,0.8972445464982779,0.5372340425531915,0.5233160621761658,0.5301837270341208,0.8870523185608633
20,0.008234460040903132,0.5171712195900634,0.8938002296211252,0.5198019801980198,0.5440414507772021,0.5316455696202531,0.8865388667935523
