epoch,train_loss,val_loss,accuracy,precision,recall,f1,roc_auc
1,0.2991764557065178,0.22753882950469081,0.9029850746268657,0.5909090909090909,0.40414507772020725,0.48,0.8958345180076064
2,0.1742739959904649,0.2282316769236949,0.9070034443168772,0.5974842767295597,0.49222797927461137,0.5397727272727273,0.8991928605117123
3,0.10821656624844224,0.2448341302770424,0.9024110218140069,0.5649717514124294,0.5181347150259067,0.5405405405405406,0.8966172392685237
4,0.07020501008866648,0.29097335863469254,0.9041331802525833,0.5802469135802469,0.48704663212435234,0.5295774647887324,0.8813842793445211
5,0.04969101803997547,0.3463974742541768,0.8955223880597015,0.5291005291005291,0.5181347150259067,0.5235602094240838,0.8710182400813496
6,0.03848013365100879,0.3816020820294127,0.8880597014925373,0.49612403100775193,0.6632124352331606,0.5676274944567627,0.8887298173315895
7,0.03305222711565363,0.38516800666717654,0.9024110218140069,0.5595854922279793,0.5595854922279793,0.5595854922279793,0.8693842258251187
8,0.02425486933093051,0.37530932160592656,0.9138920780711826,0.6257309941520468,0.5544041450777202,0.5879120879120879,0.8751793736222935
9,0.013749214007997902,0.4241509689221289,0.899540757749713,0.5405405405405406,0.6217616580310881,0.5783132530120482,0.8651779352883524
10,0.01826119518916925,0.38617943724281617,0.9161882893226176,0.6358381502890174,0.5699481865284974,0.6010928961748634,0.8755573544021381
11,0.02128611772168139,0.45747642691250373,0.9041331802525833,0.5783132530120482,0.49740932642487046,0.5348189415041783,0.8757848118625756
12,0.019853053633852438,0.38878638127093745,0.9087256027554536,0.5876288659793815,0.5906735751295337,0.5891472868217055,0.8867161498141873
13,0.012067871631589922,0.37574236930254956,0.9196326061997704,0.6687898089171974,0.5440414507772021,0.6,0.8930247493786732
14,0.016947226041643223,0.41333926451124087,0.9006888633754305,0.5442477876106194,0.6373056994818653,0.5871121718377088,0.9000023414738574
15,0.0135311540857031,0.46436938725574417,0.9012629161882894,0.562874251497006,0.48704663212435234,0.5222222222222223,0.8711386587368752
16,0.014860918377024343,0.48016980814776383,0.8960964408725602,0.53,0.5492227979274611,0.539440203562341,0.864950477827915
17,0.016685400997083735,0.4787149406353655,0.9081515499425947,0.6137931034482759,0.46113989637305697,0.5266272189349113,0.8676465177266296
18,0.010617132488795275,0.44407283188828645,0.9087256027554536,0.6089743589743589,0.49222797927461137,0.5444126074498568,0.8729148339058794
19,0.01231971320176024,0.5348329236463619,0.9087256027554536,0.6307692307692307,0.42487046632124353,0.5077399380804953,0.8575112808865488
20,0.008032683506073328,0.4917884566377416,0.9167623421354765,0.6643835616438356,0.5025906735751295,0.5722713864306784,0.8696267356174967
