epoch,train_loss,val_loss,accuracy,precision,recall,f1,roc_auc
1,0.8452992886232202,0.6890649164585241,0.8295063145809415,0.3743961352657005,0.8031088082901554,0.5107084019769358,0.903323889388775
2,0.5605290804706743,0.6453162990125532,0.8415614236509759,0.3970223325062035,0.8290155440414507,0.5369127516778524,0.9154025495305345
3,0.35497511858651837,0.7233022153035371,0.8610792192881745,0.43059490084985835,0.7875647668393783,0.5567765567765568,0.9129607267934854
4,0.2512427251522626,0.8556685811069064,0.8685419058553386,0.4451219512195122,0.7564766839378239,0.5604606525911708,0.9044477968403482
5,0.19718128513601105,0.8972981995747913,0.8662456946039035,0.4393939393939394,0.7512953367875648,0.5544933078393881,0.9034610328575682
6,0.15063358632632431,1.0748711502784702,0.8788748564867968,0.46808510638297873,0.6839378238341969,0.5557894736842105,0.8968580765795751
7,0.1253332450662602,0.9933060413797469,0.8748564867967853,0.45874587458745875,0.7202072538860104,0.5604838709677419,0.9108266406205575
8,0.1005560054517792,1.4654402995629645,0.9041331802525833,0.5613207547169812,0.616580310880829,0.5876543209876544,0.8890576236716317
9,0.07814837207537288,1.4571648815948297,0.8932261768082663,0.5139442231075697,0.6683937823834197,0.581081081081081,0.8836588539488957
10,0.08645642286975723,1.1840229938758364,0.894374282433984,0.5166051660516605,0.7253886010362695,0.603448275862069,0.9067742183658519
11,0.07912221712231461,1.505390269713889,0.8823191733639495,0.47674418604651164,0.6373056994818653,0.5454545454545454,0.8946805058921519
12,0.06805328897149214,1.3551056911798898,0.8794489092996556,0.47079037800687284,0.7098445595854922,0.5661157024793388,0.9027351759617603
13,0.06332579075105885,1.5236462884070405,0.8920780711825488,0.5102880658436214,0.6424870466321243,0.5688073394495413,0.9004304966935044
14,0.07593898070889409,1.441232432796268,0.8737083811710677,0.45454545454545453,0.6994818652849741,0.5510204081632653,0.9000424810256994
15,0.0663422144075782,1.337374439811597,0.8742824339839265,0.45695364238410596,0.7150259067357513,0.5575757575757576,0.9031566412561003
16,0.06691113166939712,1.4767942698212633,0.8857634902411022,0.48928571428571427,0.7098445595854922,0.5792811839323467,0.9008753767264189
17,0.04105252920850196,2.115620900309045,0.8892078071182549,0.5,0.5906735751295337,0.5415676959619953,0.8700180962479555
18,0.07767582158383249,1.5798281275343264,0.8846153846153846,0.4846153846153846,0.6528497409326425,0.5562913907284768,0.9002465237475624
19,0.04282967235074755,1.9007112549448943,0.8989667049368542,0.541871921182266,0.5699481865284974,0.5555555555555556,0.8929545051629498
20,0.03891799915268625,1.71024224394772,0.894374282433984,0.5177865612648221,0.6787564766839378,0.5874439461883408,0.8977311118321364
