epoch,train_loss,val_loss,accuracy,precision,recall,f1,roc_auc
1,0.2738675786795428,0.23574672377615927,0.9012629161882894,0.5573770491803278,0.5284974093264249,0.5425531914893617,0.8949280331285101
2,0.16397027727540261,0.2292477414268577,0.9064293915040184,0.6056338028169014,0.44559585492227977,0.5134328358208955,0.8965737547540282
3,0.10535352425455291,0.29811773083924425,0.8955223880597015,0.5478260869565217,0.32642487046632124,0.4090909090909091,0.8580397849858006
4,0.06571975805218055,0.28769257065896736,0.8966704936854191,0.5286343612334802,0.6217616580310881,0.5714285714285714,0.9003970470669694
5,0.043486756816420044,0.32066032355469487,0.9024110218140069,0.5628415300546448,0.533678756476684,0.5478723404255319,0.8772298357288841
6,0.03993976634613599,0.3428112620361637,0.9064293915040184,0.5949367088607594,0.48704663212435234,0.5356125356125356,0.880879189983844
7,0.029204433608559476,0.3725633278454897,0.904707233065442,0.5808383233532934,0.5025906735751295,0.5388888888888889,0.8814812832614725
8,0.02338629313606133,0.39743936033203053,0.9104477611940298,0.6504065040650406,0.41450777202072536,0.5063291139240507,0.8655793308067715
9,0.0213519335878972,0.3945133065383552,0.9098737083811711,0.6097560975609756,0.5181347150259067,0.5602240896358543,0.8675595486976388
10,0.020129010030153476,0.39362965713882764,0.899540757749713,0.5542168674698795,0.47668393782383417,0.5125348189415042,0.8800563291710848
11,0.013601977841958535,0.44163171311436233,0.8874856486796785,0.49361702127659574,0.6010362694300518,0.5420560747663551,0.8875457005522533
12,0.019165744045078332,0.47035784499525135,0.9035591274397244,0.5786163522012578,0.47668393782383417,0.5227272727272727,0.8726104423044118
13,0.01411395808280813,0.46976231633932525,0.8983926521239954,0.5571428571428572,0.40414507772020725,0.46846846846846846,0.8674658897433412
14,0.016690669597788456,0.4240372516428699,0.9001148105625718,0.5637583892617449,0.43523316062176165,0.49122807017543857,0.879718487943082
15,0.013674413113828048,0.46100354218592465,0.8794489092996556,0.46502057613168724,0.5854922279792746,0.518348623853211,0.8850771181139763
16,0.014036517180826194,0.3933878393927172,0.9012629161882894,0.5492957746478874,0.6062176165803109,0.5763546798029556,0.9071471817017164
17,0.009627593219093103,0.488927009101662,0.9018369690011481,0.569620253164557,0.46632124352331605,0.5128205128205128,0.8826386403395806
18,0.00914330844518652,0.5118911206940387,0.904707233065442,0.576271186440678,0.5284974093264249,0.5513513513513514,0.8786012704168158
19,0.010367363402767085,0.49900252254408206,0.8983926521239954,0.55,0.45595854922279794,0.4985835694050991,0.8876995688343139
20,0.009773594787485048,0.5308460338024078,0.9058553386911596,0.6141732283464567,0.40414507772020725,0.4875,0.8794007164910004
