Experiment,ROC-AUC,Average precision
Diffusion augmentation - balanced,0.900027650279268,0.5993368869984409
Traditional augmentation - balanced,0.8986451363158768,0.5757368909093403
Traditional augmentation - doubled,0.8961013106232373,0.5954340259195885
GAN augmentation - doubled,0.8951390809047172,0.6014985251936786
Diffusion augmentation - doubled,0.8931998746520673,0.6375975400905819
GAN augmentation - balanced,0.8928791314125606,0.578379437784589
Class weighting,0.8927427233681728,0.6040073834126831
Baseline,0.8772106398274622,0.5893071324303333
